nom du projet;nom du site;nom de la plateforme;date prélévement;profondeur;profondeur;chlorophylle a strickland-parsons (µg/l);chlorophylle a scor-unesco (µg/l)
Suivi des lacs;Léman;SHL2;23/01/1976;0;0;;0.58
Suivi des lacs;Léman;SHL2;23/01/1976;1;1;;0.603333333
Suivi des lacs;Léman;SHL2;23/01/1976;2;2;;0.62
Suivi des lacs;Léman;SHL2;23/01/1976;3.5;3.5;;0.615
Suivi des lacs;Léman;SHL2;23/01/1976;5;5;;0.58
Suivi des lacs;Léman;SHL2;23/01/1976;7.5;7.5;;0.585
Suivi des lacs;Léman;SHL2;23/01/1976;10;10;;0.6325
Suivi des lacs;Léman;SHL2;23/01/1976;15;15;;0.585
Suivi des lacs;Léman;SHL2;23/01/1976;20;20;;0.575
Suivi des lacs;Léman;SHL2;23/01/1976;30;30;;0.47
Suivi des lacs;Léman;SHL2;23/02/1976;0;0;;0.6325
Suivi des lacs;Léman;SHL2;23/02/1976;1;1;;0.79
Suivi des lacs;Léman;SHL2;23/02/1976;2;2;;0.7075
Suivi des lacs;Léman;SHL2;23/02/1976;3.5;3.5;;0.7375
Suivi des lacs;Léman;SHL2;23/02/1976;5;5;;0.7575
Suivi des lacs;Léman;SHL2;23/02/1976;7.5;7.5;;0.72
Suivi des lacs;Léman;SHL2;23/02/1976;10;10;;0.6475
Suivi des lacs;Léman;SHL2;23/02/1976;15;15;;0.5975
Suivi des lacs;Léman;SHL2;23/02/1976;20;20;;0.5425
Suivi des lacs;Léman;SHL2;23/02/1976;30;30;;0.4475
Suivi des lacs;Léman;SHL2;23/03/1976;0;0;;5.745
Suivi des lacs;Léman;SHL2;23/03/1976;1;1;;6.2175
Suivi des lacs;Léman;SHL2;23/03/1976;2;2;;1.666666667
Suivi des lacs;Léman;SHL2;23/03/1976;3.5;3.5;;5.735
Suivi des lacs;Léman;SHL2;23/03/1976;5;5;;5.8525
Suivi des lacs;Léman;SHL2;23/03/1976;7.5;7.5;;6.1725
Suivi des lacs;Léman;SHL2;23/03/1976;10;10;;6.1175
