"";"nom.du.projet";"nom.du.site";"nom.de.la.plateforme";"date.prélèvement";"profondeur.min.réelle.observée..m.";"profondeur.max.réelle.observée..m.";"chlorophylle.a.scor.unesco..µg.l.";"chlorophylle.a.strickland.parsons..µg.l.";"chlorophylle.c..µg.l.";"pheopigments..µg.l."
"1";"Suivi des lacs";"Léman";"SHL2";"17/10/2016";0;17.5;2.16;2.18;0.84;0.13
"2";"Suivi des lacs";"Léman";"SHL2";"17/10/2016";1;1;3.02;3.05;1.09;0
"3";"Suivi des lacs";"Léman";"SHL2";"17/10/2016";2.5;2.5;3.03;3.06;1.11;0
"4";"Suivi des lacs";"Léman";"SHL2";"17/10/2016";3.5;3.5;2.91;2.94;1.04;0
"5";"Suivi des lacs";"Léman";"SHL2";"17/10/2016";5;5;2.88;2.91;1.08;0
"6";"Suivi des lacs";"Léman";"SHL2";"17/10/2016";7.5;7.5;1.95;1.97;0.71;0.09
"7";"Suivi des lacs";"Léman";"SHL2";"17/10/2016";10;10;1.66;1.68;0.68;0.11
"8";"Suivi des lacs";"Léman";"SHL2";"17/10/2016";15;15;1.25;1.26;0.54;0.1
"9";"Suivi des lacs";"Léman";"SHL2";"17/10/2016";20;20;0.63;0.63;0.31;0.09
"10";"Suivi des lacs";"Léman";"SHL2";"17/10/2016";30;30;0.48;0.48;0.19;0.1
"11";"Suivi des lacs";"Léman";"SHL2";"15/11/2016";0;0;2.9;2.92;0.91;0.08
"12";"Suivi des lacs";"Léman";"SHL2";"15/11/2016";1;1;2.72;2.74;0.92;0.07
"13";"Suivi des lacs";"Léman";"SHL2";"15/11/2016";2.5;2.5;3.02;3.05;1.04;0.06
"14";"Suivi des lacs";"Léman";"SHL2";"15/11/2016";3.5;3.5;3.14;3.17;1.07;0.04
"15";"Suivi des lacs";"Léman";"SHL2";"15/11/2016";5;5;3.2;3.22;1.1;0.06
"16";"Suivi des lacs";"Léman";"SHL2";"15/11/2016";7.5;7.5;2.99;3.02;0.97;0.06
"17";"Suivi des lacs";"Léman";"SHL2";"15/11/2016";10;10;3.16;3.18;1.06;0.06
"18";"Suivi des lacs";"Léman";"SHL2";"15/11/2016";15;15;3.15;3.18;1.05;0.08
"19";"Suivi des lacs";"Léman";"SHL2";"15/11/2016";20;20;3.18;3.2;1.09;0.06
"20";"Suivi des lacs";"Léman";"SHL2";"15/11/2016";30;30;1.82;1.84;0.5;0.13
"21";"Suivi des lacs";"Léman";"SHL2";"30/11/2016";0;0;2;2.02;0.63;0.01
"22";"Suivi des lacs";"Léman";"SHL2";"30/11/2016";1;1;2.05;2.07;0.66;0.02
"23";"Suivi des lacs";"Léman";"SHL2";"30/11/2016";2.5;2.5;2.11;2.12;0.74;0.02
"24";"Suivi des lacs";"Léman";"SHL2";"30/11/2016";3.5;3.5;2.23;2.25;0.72;0.01
"25";"Suivi des lacs";"Léman";"SHL2";"30/11/2016";5;5;2.14;2.15;0.69;0.01
"26";"Suivi des lacs";"Léman";"SHL2";"30/11/2016";7.5;7.5;2.04;2.06;0.71;0.01
"27";"Suivi des lacs";"Léman";"SHL2";"30/11/2016";10;10;1.99;2;0.62;0.01
"28";"Suivi des lacs";"Léman";"SHL2";"30/11/2016";15;15;2.04;2.06;0.61;0.02
"29";"Suivi des lacs";"Léman";"SHL2";"30/11/2016";20;20;2.01;2.03;0.67;0.03
"30";"Suivi des lacs";"Léman";"SHL2";"30/11/2016";30;30;0.38;0.39;0.08;0.09
"31";"Suivi des lacs";"Léman";"SHL2";"15/12/2016";0;0;3.02;3.05;1.14;0
"32";"Suivi des lacs";"Léman";"SHL2";"15/12/2016";1;1;3.17;3.2;1.17;0
"33";"Suivi des lacs";"Léman";"SHL2";"15/12/2016";2.5;2.5;3.21;3.24;1.16;0
