"";"date";"profondeur";"Chl_a"
"1";2016-10-17;"0";2.16
"2";2016-10-17;"1";3.02
"3";2016-10-17;"2.5";3.03
"4";2016-10-17;"3.5";2.91
"5";2016-10-17;"5";2.88
"6";2016-10-17;"7.5";1.95
"7";2016-10-17;"10";1.66
"8";2016-10-17;"15";1.25
"9";2016-10-17;"20";0.63
"10";2016-10-17;"30";0.48
"11";2016-11-15;"0";2.9
"12";2016-11-15;"1";2.72
"13";2016-11-15;"2.5";3.02
"14";2016-11-15;"3.5";3.14
"15";2016-11-15;"5";3.2
"16";2016-11-15;"7.5";2.99
"17";2016-11-15;"10";3.16
"18";2016-11-15;"15";3.15
"19";2016-11-15;"20";3.18
"20";2016-11-15;"30";1.82
"21";2016-11-30;"0";2
"22";2016-11-30;"1";2.05
"23";2016-11-30;"2.5";2.11
"24";2016-11-30;"3.5";2.23
"25";2016-11-30;"5";2.14
"26";2016-11-30;"7.5";2.04
"27";2016-11-30;"10";1.99
"28";2016-11-30;"15";2.04
"29";2016-11-30;"20";2.01
"30";2016-11-30;"30";0.38
"31";2016-12-15;"0";3.02
"32";2016-12-15;"1";3.17
"33";2016-12-15;"2.5";3.21
"34";2016-12-15;"3.5";3.25
"35";2016-12-15;"5";3.19
"36";2016-12-15;"7.5";3.08
"37";2016-12-15;"10";3.02
"38";2016-12-15;"15";3.05
"39";2016-12-15;"20";2.97
"40";2016-12-15;"30";0.44
"41";2017-01-30;"0";1.27
"42";2017-01-30;"1";1.33
"43";2017-01-30;"2.5";1.34
"44";2017-01-30;"3.5";1.35
"45";2017-01-30;"5";1.31
"46";2017-01-30;"7.5";1.36
"47";2017-01-30;"10";1.41
"48";2017-01-30;"15";1.36
"49";2017-01-30;"20";1.3
"50";2017-01-30;"30";1.34
"51";2017-02-15;"0";1.09
"52";2017-02-15;"1";1.2
"53";2017-02-15;"2.5";1.33
"54";2017-02-15;"3.5";1.34
"55";2017-02-15;"5";1.26
"56";2017-02-15;"7.5";1.29
"57";2017-02-15;"10";1.3
"58";2017-02-15;"15";1.21
"59";2017-02-15;"20";1.21
"60";2017-02-15;"30";1.13
"61";2017-03-08;"0";1.13
"62";2017-03-08;"1";1.45
"63";2017-03-08;"2.5";1.74
"64";2017-03-08;"3.5";1.69
"65";2017-03-08;"5";1.73
"66";2017-03-08;"7.5";1.72
"67";2017-03-08;"10";1.64
"68";2017-03-08;"15";1.62
"69";2017-03-08;"20";1.65
"70";2017-03-08;"30";1.6
"71";2017-03-20;"0";3.71
"72";2017-03-20;"1";11.61
"73";2017-03-20;"2.5";15
"74";2017-03-20;"3.5";15.83
"75";2017-03-20;"5";12.46
"76";2017-03-20;"7.5";10.4
"77";2017-03-20;"10";9.28
"78";2017-03-20;"15";5.45
"79";2017-03-20;"20";2.9
"80";2017-03-20;"30";1.31
"81";2017-04-10;"0";0.91
"82";2017-04-10;"1";1.35
"83";2017-04-10;"2.5";2.63
"84";2017-04-10;"3.5";3.06
"85";2017-04-10;"5";3.34
"86";2017-04-10;"7.5";3.4
"87";2017-04-10;"10";3.46
"88";2017-04-10;"15";3.79
"89";2017-04-10;"20";2.78
"90";2017-04-10;"30";2.37
"91";2017-05-02;"0";4.65
"92";2017-05-02;"1";4.75
"93";2017-05-02;"2.5";4.76
"94";2017-05-02;"3.5";4.94
"95";2017-05-02;"5";5.04
"96";2017-05-02;"7.5";4.8
"97";2017-05-02;"10";4.86
"98";2017-05-02;"15";4.4
"99";2017-05-02;"20";3.72
"100";2017-05-02;"30";1.48
"101";2017-05-15;"0";2.28
"102";2017-05-15;"1";3.38
"103";2017-05-15;"2.5";6.57
"104";2017-05-15;"3.5";7.65
"105";2017-05-15;"5";3.34
"106";2017-05-15;"7.5";3.4
"107";2017-05-15;"10";3.46
"108";2017-05-15;"15";3.79
"109";2017-05-15;"20";6.95
"110";2017-05-15;"30";5.92
"111";2017-06-01;"0";1.29
"112";2017-06-01;"1";1.67
"113";2017-06-01;"2.5";1.9
"114";2017-06-01;"3.5";1.94
"115";2017-06-01;"5";1.89
"116";2017-06-01;"7.5";2.84
"117";2017-06-01;"10";4.59
"118";2017-06-01;"15";6.35
"119";2017-06-01;"20";4.61
"120";2017-06-01;"30";2.16
"121";2017-06-20;"0";0.71
"122";2017-06-20;"1";1.23
"123";2017-06-20;"2.5";1.33
"124";2017-06-20;"3.5";1.61
"125";2017-06-20;"5";1.7
"126";2017-06-20;"7.5";1.69
"127";2017-06-20;"10";1.94
"128";2017-06-20;"15";3.46
"129";2017-06-20;"20";5.9
"130";2017-06-20;"30";3.07
"131";2017-07-04;"0";1.03
"132";2017-07-04;"1";1.51
"133";2017-07-04;"2.5";1.64
"134";2017-07-04;"3.5";2.17
"135";2017-07-04;"5";2.11
"136";2017-07-04;"7.5";2.19
"137";2017-07-04;"10";2.1
"138";2017-07-04;"15";2.73
"139";2017-07-04;"20";3.54
"140";2017-07-04;"30";1.96
"141";2017-07-18;"0";0.71
"142";2017-07-18;"1";1.23
"143";2017-07-18;"2.5";1.33
"144";2017-07-18;"3.5";1.61
"145";2017-07-18;"5";1.7
"146";2017-07-18;"7.5";1.69
"147";2017-07-18;"10";1.94
"148";2017-07-18;"15";3.46
"149";2017-07-18;"20";5.9
"150";2017-07-18;"30";3.07
"151";2017-08-09;"0";2.44
"152";2017-08-09;"1";3.29
"153";2017-08-09;"2.5";4.26
"154";2017-08-09;"3.5";4.53
"155";2017-08-09;"5";5.01
"156";2017-08-09;"7.5";5.25
"157";2017-08-09;"10";4.34
"158";2017-08-09;"15";3.26
"159";2017-08-09;"20";2.62
"160";2017-08-09;"30";2.24
"161";2017-08-22;"0";2.56
"162";2017-08-22;"1";3.18
"163";2017-08-22;"2.5";3.29
"164";2017-08-22;"3.5";3.53
"165";2017-08-22;"5";3.78
"166";2017-08-22;"7.5";3.97
"167";2017-08-22;"10";5.47
"168";2017-08-22;"15";3.57
"169";2017-08-22;"20";2.26
"170";2017-08-22;"30";1.55
"171";2017-09-04;"0";0.72
"172";2017-09-04;"1";2.09
"173";2017-09-04;"2.5";9.4
"174";2017-09-04;"3.5";4.69
"175";2017-09-04;"5";2.55
"176";2017-09-04;"7.5";2.67
"177";2017-09-04;"10";2.8
"178";2017-09-04;"15";2.76
"179";2017-09-04;"20";2.66
"180";2017-09-04;"30";2.58
"181";2017-09-25;"0";2.5
"182";2017-09-25;"1";3.05
"183";2017-09-25;"2.5";3.34
"184";2017-09-25;"3.5";3.23
"185";2017-09-25;"5";3.28
"186";2017-09-25;"7.5";3.59
"187";2017-09-25;"10";3.51
"188";2017-09-25;"15";3.78
"189";2017-09-25;"20";5.14
"190";2017-09-25;"30";1.35
"191";2017-10-09;"0";2.42
"192";2017-10-09;"1";2.71
"193";2017-10-09;"2.5";2.9
"194";2017-10-09;"3.5";3
"195";2017-10-09;"5";2.78
"196";2017-10-09;"7.5";2.88
"197";2017-10-09;"10";2.99
"198";2017-10-09;"15";3
"199";2017-10-09;"20";4.84
"200";2017-10-09;"30";1.45
"201";2017-10-24;"0";2.5
"202";2017-10-24;"1";2.72
