nom du projet,nom du site,nom de la plateforme,date de prélèvement,profondeur min (m),profondeur réelle observée (m),chl a (mg_m3),
Suivi des lacs,Léman,SHL2,17/10/2016,0.4,0.4,3.52,
Suivi des lacs,Léman,SHL2,17/10/2016,0.7,0.7,3.52,
Suivi des lacs,Léman,SHL2,17/10/2016,0.9,0.9,4.11,
Suivi des lacs,Léman,SHL2,17/10/2016,1.4,1.4,3.43,
Suivi des lacs,Léman,SHL2,17/10/2016,1.7,1.7,3.33,
Suivi des lacs,Léman,SHL2,17/10/2016,1.9,1.9,3.46,
Suivi des lacs,Léman,SHL2,17/10/2016,2.2,2.2,3.7,
Suivi des lacs,Léman,SHL2,17/10/2016,2.4,2.4,3.8,
Suivi des lacs,Léman,SHL2,17/10/2016,3.0,3.0,3.64,
Suivi des lacs,Léman,SHL2,17/10/2016,3.5,3.5,3.3,
Suivi des lacs,Léman,SHL2,17/10/2016,3.7,3.7,2.87,
Suivi des lacs,Léman,SHL2,17/10/2016,4.0,4.0,2.84,
Suivi des lacs,Léman,SHL2,17/10/2016,4.2,4.2,2.65,
Suivi des lacs,Léman,SHL2,17/10/2016,4.8,4.8,2.93,
Suivi des lacs,Léman,SHL2,17/10/2016,5.2,5.2,2.62,
Suivi des lacs,Léman,SHL2,17/10/2016,5.5,5.5,2.5,
Suivi des lacs,Léman,SHL2,17/10/2016,6.0,6.0,2.16,
Suivi des lacs,Léman,SHL2,17/10/2016,6.3,6.3,2.13,
Suivi des lacs,Léman,SHL2,17/10/2016,6.5,6.5,2.01,
Suivi des lacs,Léman,SHL2,17/10/2016,6.8,6.8,1.91,
Suivi des lacs,Léman,SHL2,17/10/2016,7.0,7.0,1.91,
Suivi des lacs,Léman,SHL2,17/10/2016,7.3,7.3,1.79,
Suivi des lacs,Léman,SHL2,17/10/2016,7.6,7.6,1.73,
Suivi des lacs,Léman,SHL2,17/10/2016,7.8,7.8,2.01,
Suivi des lacs,Léman,SHL2,17/10/2016,8.3,8.3,1.57,
Suivi des lacs,Léman,SHL2,17/10/2016,8.6,8.6,1.73,
Suivi des lacs,Léman,SHL2,17/10/2016,9.1,9.1,1.57,
Suivi des lacs,Léman,SHL2,17/10/2016,9.6,9.6,1.39,
Suivi des lacs,Léman,SHL2,17/10/2016,10.1,10.1,1.51,
Suivi des lacs,Léman,SHL2,17/10/2016,10.4,10.4,1.27,
Suivi des lacs,Léman,SHL2,17/10/2016,10.6,10.6,1.39,
Suivi des lacs,Léman,SHL2,17/10/2016,11.1,11.1,1.14,
Suivi des lacs,Léman,SHL2,17/10/2016,11.4,11.4,1.14,
Suivi des lacs,Léman,SHL2,17/10/2016,11.7,11.7,1.17,
Suivi des lacs,Léman,SHL2,17/10/2016,12.2,12.2,1.08,
Suivi des lacs,Léman,SHL2,17/10/2016,12.4,12.4,1.08,
Suivi des lacs,Léman,SHL2,17/10/2016,12.7,12.7,1.02,
Suivi des lacs,Léman,SHL2,17/10/2016,12.9,12.9,1.08,
Suivi des lacs,Léman,SHL2,17/10/2016,13.2,13.2,1.05,
Suivi des lacs,Léman,SHL2,17/10/2016,13.7,13.7,1.05,
Suivi des lacs,Léman,SHL2,17/10/2016,14.0,14.0,0.99,
Suivi des lacs,Léman,SHL2,17/10/2016,14.2,14.2,0.99,
Suivi des lacs,Léman,SHL2,17/10/2016,14.7,14.7,1.02,
Suivi des lacs,Léman,SHL2,17/10/2016,15.2,15.2,0.93,
Suivi des lacs,Léman,SHL2,17/10/2016,15.5,15.5,0.96,
Suivi des lacs,Léman,SHL2,17/10/2016,16.0,16.0,0.99,
