"";"date";"profondeur";"Chl_a"
"1";2016-10-17;0.4;3.52
"2";2016-10-17;0.7;3.52
"3";2016-10-17;0.9;4.11
"4";2016-10-17;1.4;3.43
"5";2016-10-17;1.7;3.33
"6";2016-10-17;1.9;3.46
"7";2016-10-17;2.2;3.7
"8";2016-10-17;2.4;3.8
"9";2016-10-17;3;3.64
"10";2016-10-17;3.5;3.3
"11";2016-10-17;3.7;2.87
"12";2016-10-17;4;2.84
"13";2016-10-17;4.2;2.65
"14";2016-10-17;4.8;2.93
"15";2016-10-17;5.2;2.62
"16";2016-10-17;5.5;2.5
"17";2016-10-17;6;2.16
"18";2016-10-17;6.3;2.13
"19";2016-10-17;6.5;2.01
"20";2016-10-17;6.8;1.91
"21";2016-10-17;7;1.91
"22";2016-10-17;7.3;1.79
"23";2016-10-17;7.6;1.73
"24";2016-10-17;7.8;2.01
"25";2016-10-17;8.3;1.57
"26";2016-10-17;8.6;1.73
"27";2016-10-17;9.1;1.57
"28";2016-10-17;9.6;1.39
"29";2016-10-17;10.1;1.51
"30";2016-10-17;10.4;1.27
"31";2016-10-17;10.6;1.39
"32";2016-10-17;11.1;1.14
"33";2016-10-17;11.4;1.14
"34";2016-10-17;11.7;1.17
"35";2016-10-17;12.2;1.08
"36";2016-10-17;12.4;1.08
"37";2016-10-17;12.7;1.02
"38";2016-10-17;12.9;1.08
"39";2016-10-17;13.2;1.05
"40";2016-10-17;13.7;1.05
"41";2016-10-17;14;0.99
"42";2016-10-17;14.2;0.99
"43";2016-10-17;14.7;1.02
"44";2016-10-17;15.2;0.93
"45";2016-10-17;15.5;0.96
"46";2016-10-17;16;0.99
"47";2016-10-17;16.2;0.89
"48";2016-10-17;16.5;0.93
"49";2016-10-17;17;0.93
"50";2016-10-17;17.6;1.2
"51";2016-10-17;18;0.89
"52";2016-10-17;18.5;1.02
"53";2016-10-17;18.8;0.96
"54";2016-10-17;19.1;0.96
"55";2016-10-17;19.3;0.93
"56";2016-10-17;19.6;0.83
"57";2016-10-17;19.8;0.89
"58";2016-10-17;20.1;0.93
"59";2016-10-17;20.6;0.8
"60";2016-10-17;21.1;0.68
"61";2016-10-17;21.4;0.77
"62";2016-10-17;21.6;0.68
"63";2016-10-17;21.9;0.71
"64";2016-10-17;22.4;0.68
"65";2016-10-17;22.7;0.68
"66";2016-10-17;22.9;0.74
"67";2016-10-17;23.4;0.65
"68";2016-10-17;23.9;0.62
"69";2016-10-17;24.4;0.56
"70";2016-10-17;24.7;0.56
"71";2016-10-17;25;0.62
"72";2016-10-17;25.5;0.59
"73";2016-10-17;25.7;0.52
"74";2016-10-17;26.2;0.52
"75";2016-10-17;26.5;0.49
"76";2016-10-17;27;0.43
"77";2016-10-17;27.3;0.43
"78";2016-10-17;27.5;0.52
"79";2016-10-17;27.8;0.4
"80";2016-10-17;28.3;0.46
"81";2016-10-17;28.5;0.4
"82";2016-10-17;28.8;0.49
"83";2016-10-17;29.3;0.43
"84";2016-10-17;29.6;0.43
"831";2016-12-15;0.3;2.22
"832";2016-12-15;0.6;2.53
"833";2016-12-15;0.9;2.41
"834";2016-12-15;1.4;3.46
"835";2016-12-15;1.6;2.72
"836";2016-12-15;2.1;2.93
"837";2016-12-15;2.6;3.21
"838";2016-12-15;2.9;3.02
"839";2016-12-15;3.1;2.93
"840";2016-12-15;3.4;3.18
"841";2016-12-15;3.7;2.84
"842";2016-12-15;3.9;2.59
"843";2016-12-15;4.4;2.96
"844";2016-12-15;4.7;3.3
"845";2016-12-15;4.9;2.87
"846";2016-12-15;5.4;3.06
"847";2016-12-15;5.7;3.09
"848";2016-12-15;6;3.15
"849";2016-12-15;6.5;3.33
"850";2016-12-15;7;3.06
"851";2016-12-15;7.2;2.93
"852";2016-12-15;7.5;2.87
"853";2016-12-15;8;3.02
"854";2016-12-15;8.3;2.75
"855";2016-12-15;8.5;3.36
"856";2016-12-15;9;3.12
"857";2016-12-15;9.6;2.75
"858";2016-12-15;9.8;2.53
"859";2016-12-15;10.3;3.4
"860";2016-12-15;10.6;3.12
"861";2016-12-15;10.8;3.4
"862";2016-12-15;11.1;3.18
"863";2016-12-15;11.6;3.09
"864";2016-12-15;12.1;2.99
"865";2016-12-15;12.3;3.12
"866";2016-12-15;12.6;2.99
"867";2016-12-15;12.9;3.06
"868";2016-12-15;13.4;2.56
"869";2016-12-15;13.9;2.96
"870";2016-12-15;14.1;3.02
"871";2016-12-15;14.4;3.12
"872";2016-12-15;14.7;3.77
"873";2016-12-15;15.2;2.72
"874";2016-12-15;15.4;3.09
"875";2016-12-15;15.9;2.93
"876";2016-12-15;16.4;3.46
"877";2016-12-15;16.7;3.21
"878";2016-12-15;17;3.4
"879";2016-12-15;17.5;3.95
"880";2016-12-15;18;2.84
"881";2016-12-15;18.5;2.75
"882";2016-12-15;19;3.12
"883";2016-12-15;19.3;3.52
"884";2016-12-15;19.5;3.21
"885";2016-12-15;20;3.12
"886";2016-12-15;20.3;3.52
"887";2016-12-15;20.5;3.06
"888";2016-12-15;21.1;2.81
"889";2016-12-15;21.6;2.22
"890";2016-12-15;21.8;2.75
"891";2016-12-15;22.1;2.28
"892";2016-12-15;22.6;2.04
