nom du projet;nom du site;nom de la plateforme;date prelevement;profondeur min réelle observée (m);profondeur max réelle observée (m);chlorophylle a strickland-parsons (µg/l);chlorophylle a scor-unesco (µg/l)
Suivi des lacs;Léman;SHL2;17/10/2016;0.0;0.0;;2.05
Suivi des lacs;Léman;SHL2;17/10/2016;1.0;1.0;;3.02
Suivi des lacs;Léman;SHL2;17/10/2016;2.5;2.5;;3.03
Suivi des lacs;Léman;SHL2;17/10/2016;3.5;3.5;;2.91
Suivi des lacs;Léman;SHL2;17/10/2016;5.0;5.0;;2.88
Suivi des lacs;Léman;SHL2;17/10/2016;7.5;7.5;;1.95
Suivi des lacs;Léman;SHL2;17/10/2016;10.0;10.0;;1.66
Suivi des lacs;Léman;SHL2;17/10/2016;15.0;15.0;;1.25
Suivi des lacs;Léman;SHL2;17/10/2016;20.0;20.0;;0.63
Suivi des lacs;Léman;SHL2;17/10/2016;30.0;30.0;;0.48
Suivi des lacs;Léman;SHL2;15/11/2016;0.0;0.0;;2.9
Suivi des lacs;Léman;SHL2;15/11/2016;1.0;1.0;;2.72
Suivi des lacs;Léman;SHL2;15/11/2016;2.5;2.5;;3.02
Suivi des lacs;Léman;SHL2;15/11/2016;3.5;3.5;;3.14
Suivi des lacs;Léman;SHL2;15/11/2016;5.0;5.0;;3.2
Suivi des lacs;Léman;SHL2;15/11/2016;7.5;7.5;;2.99
Suivi des lacs;Léman;SHL2;15/11/2016;10.0;10.0;;3.16
Suivi des lacs;Léman;SHL2;15/11/2016;15.0;15.0;;3.15
Suivi des lacs;Léman;SHL2;15/11/2016;20.0;20.0;;3.18
Suivi des lacs;Léman;SHL2;15/11/2016;30.0;30.0;;1.82
Suivi des lacs;Léman;SHL2;30/11/2016;0.0;0.0;;2
Suivi des lacs;Léman;SHL2;30/11/2016;1.0;1.0;;2.05
Suivi des lacs;Léman;SHL2;30/11/2016;2.5;2.5;;2.11
Suivi des lacs;Léman;SHL2;30/11/2016;3.5;3.5;;2.23
Suivi des lacs;Léman;SHL2;30/11/2016;5.0;5.0;;2.14
Suivi des lacs;Léman;SHL2;30/11/2016;7.5;7.5;;2.04
Suivi des lacs;Léman;SHL2;30/11/2016;10.0;10.0;;1.99
Suivi des lacs;Léman;SHL2;30/11/2016;15.0;15.0;;2.04
Suivi des lacs;Léman;SHL2;30/11/2016;20.0;20.0;;2.01
Suivi des lacs;Léman;SHL2;30/11/2016;30.0;30.0;;0.38
Suivi des lacs;Léman;SHL2;15/12/2016;0.0;0.0;;3.02
Suivi des lacs;Léman;SHL2;15/12/2016;1.0;1.0;;3.17
Suivi des lacs;Léman;SHL2;15/12/2016;2.5;2.5;;3.21
Suivi des lacs;Léman;SHL2;15/12/2016;3.5;3.5;;3.25
