"";"nom.du.projet";"nom.du.site";"nom.de.la.plateforme";"date.de.prélèvement";"profondeur.réelle.observée..m.";"chl.a..mg.m3."
"1";"Suivi des lacs";"Bourget";"Point B";2016-12-12;0.47;1.08
"2";"Suivi des lacs";"Bourget";"Point B";2016-12-12;0.96;1.17
"3";"Suivi des lacs";"Bourget";"Point B";2016-12-12;1.22;1.23
"4";"Suivi des lacs";"Bourget";"Point B";2016-12-12;1.48;1.27
"5";"Suivi des lacs";"Bourget";"Point B";2016-12-12;1.73;1.3
"6";"Suivi des lacs";"Bourget";"Point B";2016-12-12;1.99;1.42
"7";"Suivi des lacs";"Bourget";"Point B";2016-12-12;2.25;1.64
"8";"Suivi des lacs";"Bourget";"Point B";2016-12-12;2.75;1.79
"9";"Suivi des lacs";"Bourget";"Point B";2016-12-12;3.04;2.01
"10";"Suivi des lacs";"Bourget";"Point B";2016-12-12;3.54;2.1
"11";"Suivi des lacs";"Bourget";"Point B";2016-12-12;3.79;2.16
"12";"Suivi des lacs";"Bourget";"Point B";2016-12-12;4.3;2.22
"13";"Suivi des lacs";"Bourget";"Point B";2016-12-12;4.57;2.38
"14";"Suivi des lacs";"Bourget";"Point B";2016-12-12;4.82;2.28
"15";"Suivi des lacs";"Bourget";"Point B";2016-12-12;5.33;2.62
"16";"Suivi des lacs";"Bourget";"Point B";2016-12-12;5.83;2.38
"17";"Suivi des lacs";"Bourget";"Point B";2016-12-12;6.34;2.5
"18";"Suivi des lacs";"Bourget";"Point B";2016-12-12;6.85;2.53
"19";"Suivi des lacs";"Bourget";"Point B";2016-12-12;7.37;2.72
"20";"Suivi des lacs";"Bourget";"Point B";2016-12-12;7.87;2.35
"21";"Suivi des lacs";"Bourget";"Point B";2016-12-12;8.13;2.65
"22";"Suivi des lacs";"Bourget";"Point B";2016-12-12;8.4;2.75
"23";"Suivi des lacs";"Bourget";"Point B";2016-12-12;8.67;2.59
"24";"Suivi des lacs";"Bourget";"Point B";2016-12-12;9.16;2.47
"25";"Suivi des lacs";"Bourget";"Point B";2016-12-12;9.42;2.47
"26";"Suivi des lacs";"Bourget";"Point B";2016-12-12;9.92;2.47
"27";"Suivi des lacs";"Bourget";"Point B";2016-12-12;10.44;2.69
"28";"Suivi des lacs";"Bourget";"Point B";2016-12-12;10.94;2.31
"29";"Suivi des lacs";"Bourget";"Point B";2016-12-12;11.21;2.5
"30";"Suivi des lacs";"Bourget";"Point B";2016-12-12;11.46;2.47
"31";"Suivi des lacs";"Bourget";"Point B";2016-12-12;11.72;2.35
"32";"Suivi des lacs";"Bourget";"Point B";2016-12-12;12.22;2.5
"33";"Suivi des lacs";"Bourget";"Point B";2016-12-12;12.48;2.53
"34";"Suivi des lacs";"Bourget";"Point B";2016-12-12;12.74;2.47
"35";"Suivi des lacs";"Bourget";"Point B";2016-12-12;13.27;2.16
"36";"Suivi des lacs";"Bourget";"Point B";2016-12-12;13.76;2.31
"37";"Suivi des lacs";"Bourget";"Point B";2016-12-12;14.01;2.72
"38";"Suivi des lacs";"Bourget";"Point B";2016-12-12;14.27;2.53
"39";"Suivi des lacs";"Bourget";"Point B";2016-12-12;14.52;2.38
"40";"Suivi des lacs";"Bourget";"Point B";2016-12-12;14.78;2.78
"41";"Suivi des lacs";"Bourget";"Point B";2016-12-12;15.03;2.44
"42";"Suivi des lacs";"Bourget";"Point B";2016-12-12;15.29;2.35
"43";"Suivi des lacs";"Bourget";"Point B";2016-12-12;15.55;2.38
"44";"Suivi des lacs";"Bourget";"Point B";2016-12-12;15.81;2.59
"45";"Suivi des lacs";"Bourget";"Point B";2016-12-12;16.07;2.72
"46";"Suivi des lacs";"Bourget";"Point B";2016-12-12;16.56;2.35
"47";"Suivi des lacs";"Bourget";"Point B";2016-12-12;16.83;2.47
"48";"Suivi des lacs";"Bourget";"Point B";2016-12-12;17.08;2.44
"49";"Suivi des lacs";"Bourget";"Point B";2016-12-12;17.34;2.35
"50";"Suivi des lacs";"Bourget";"Point B";2016-12-12;17.59;2.28
"51";"Suivi des lacs";"Bourget";"Point B";2016-12-12;17.87;2.47
"52";"Suivi des lacs";"Bourget";"Point B";2016-12-12;18.37;2.5
"53";"Suivi des lacs";"Bourget";"Point B";2016-12-12;18.88;2.35
"54";"Suivi des lacs";"Bourget";"Point B";2016-12-12;19.15;2.41
"55";"Suivi des lacs";"Bourget";"Point B";2016-12-12;19.66;2.35
"56";"Suivi des lacs";"Bourget";"Point B";2016-12-12;20.17;2.53
"57";"Suivi des lacs";"Bourget";"Point B";2016-12-12;20.67;2.13
"58";"Suivi des lacs";"Bourget";"Point B";2016-12-12;20.93;2.22
"59";"Suivi des lacs";"Bourget";"Point B";2016-12-12;21.45;2.22
"60";"Suivi des lacs";"Bourget";"Point B";2016-12-12;21.94;2.56
"61";"Suivi des lacs";"Bourget";"Point B";2016-12-12;22.2;2.07
"62";"Suivi des lacs";"Bourget";"Point B";2016-12-12;22.46;2.22
"63";"Suivi des lacs";"Bourget";"Point B";2016-12-12;22.73;2.19
"64";"Suivi des lacs";"Bourget";"Point B";2016-12-12;23.22;2.28
"65";"Suivi des lacs";"Bourget";"Point B";2016-12-12;23.48;2.01
"66";"Suivi des lacs";"Bourget";"Point B";2016-12-12;23.74;2.16
"67";"Suivi des lacs";"Bourget";"Point B";2016-12-12;24.24;2.07
"68";"Suivi des lacs";"Bourget";"Point B";2016-12-12;24.5;1.94
"69";"Suivi des lacs";"Bourget";"Point B";2016-12-12;24.76;1.94
"70";"Suivi des lacs";"Bourget";"Point B";2016-12-12;25.28;2.22
"71";"Suivi des lacs";"Bourget";"Point B";2016-12-12;25.55;2.07
"72";"Suivi des lacs";"Bourget";"Point B";2016-12-12;26.04;2.35
"73";"Suivi des lacs";"Bourget";"Point B";2016-12-12;26.3;2.07
"74";"Suivi des lacs";"Bourget";"Point B";2016-12-12;26.81;2.19
"75";"Suivi des lacs";"Bourget";"Point B";2016-12-12;27.34;1.98
"76";"Suivi des lacs";"Bourget";"Point B";2016-12-12;27.84;2.1
"77";"Suivi des lacs";"Bourget";"Point B";2016-12-12;28.34;2.01
"78";"Suivi des lacs";"Bourget";"Point B";2016-12-12;28.6;1.91
"79";"Suivi des lacs";"Bourget";"Point B";2016-12-12;28.86;2.01
"80";"Suivi des lacs";"Bourget";"Point B";2016-12-12;29.12;1.7
"81";"Suivi des lacs";"Bourget";"Point B";2016-12-12;29.62;1.64
"82";"Suivi des lacs";"Bourget";"Point B";2016-12-12;29.89;1.39
"83";"Suivi des lacs";"Bourget";"Point B";2016-12-12;30.39;1.36
"84";"Suivi des lacs";"Bourget";"Point B";2016-12-12;30.64;1.48
"85";"Suivi des lacs";"Bourget";"Point B";2016-12-12;30.9;1.33
"86";"Suivi des lacs";"Bourget";"Point B";2016-12-12;31.17;1.2
"87";"Suivi des lacs";"Bourget";"Point B";2016-12-12;31.67;1.33
"88";"Suivi des lacs";"Bourget";"Point B";2016-12-12;31.93;1.14
"89";"Suivi des lacs";"Bourget";"Point B";2016-12-12;32.46;0.86
"90";"Suivi des lacs";"Bourget";"Point B";2016-12-12;32.96;0.83
"91";"Suivi des lacs";"Bourget";"Point B";2016-12-12;33.21;1.05
"92";"Suivi des lacs";"Bourget";"Point B";2016-12-12;33.47;0.99
"93";"Suivi des lacs";"Bourget";"Point B";2016-12-12;33.72;0.77
"94";"Suivi des lacs";"Bourget";"Point B";2016-12-12;34.22;0.8
"95";"Suivi des lacs";"Bourget";"Point B";2016-12-12;34.49;0.83
"96";"Suivi des lacs";"Bourget";"Point B";2016-12-12;34.99;0.86
"97";"Suivi des lacs";"Bourget";"Point B";2016-12-12;35.25;0.59
"98";"Suivi des lacs";"Bourget";"Point B";2016-12-12;35.52;0.56
"99";"Suivi des lacs";"Bourget";"Point B";2016-12-12;36.01;0.49
"100";"Suivi des lacs";"Bourget";"Point B";2016-12-12;36.28;0.59
"101";"Suivi des lacs";"Bourget";"Point B";2016-12-12;36.78;0.4
"102";"Suivi des lacs";"Bourget";"Point B";2016-12-12;37.04;0.4
"103";"Suivi des lacs";"Bourget";"Point B";2016-12-12;37.3;0.46
"104";"Suivi des lacs";"Bourget";"Point B";2016-12-12;37.81;0.4
"105";"Suivi des lacs";"Bourget";"Point B";2016-12-12;38.34;0.43
"106";"Suivi des lacs";"Bourget";"Point B";2016-12-12;38.83;0.34
"107";"Suivi des lacs";"Bourget";"Point B";2016-12-12;39.09;0.34
"108";"Suivi des lacs";"Bourget";"Point B";2016-12-12;39.34;0.31
"109";"Suivi des lacs";"Bourget";"Point B";2016-12-12;39.62;0.37
"110";"Suivi des lacs";"Bourget";"Point B";2016-12-12;40.14;0.31
"111";"Suivi des lacs";"Bourget";"Point B";2016-12-12;40.63;0.37
"112";"Suivi des lacs";"Bourget";"Point B";2016-12-12;40.89;0.34
"113";"Suivi des lacs";"Bourget";"Point B";2016-12-12;41.39;0.31
"114";"Suivi des lacs";"Bourget";"Point B";2016-12-12;41.67;0.37
"115";"Suivi des lacs";"Bourget";"Point B";2016-12-12;42.18;0.28
"116";"Suivi des lacs";"Bourget";"Point B";2016-12-12;42.44;0.31
"117";"Suivi des lacs";"Bourget";"Point B";2016-12-12;42.95;0.25
"118";"Suivi des lacs";"Bourget";"Point B";2016-12-12;43.45;0.31
"119";"Suivi des lacs";"Bourget";"Point B";2016-12-12;43.71;0.28
"120";"Suivi des lacs";"Bourget";"Point B";2016-12-12;43.97;0.31
"121";"Suivi des lacs";"Bourget";"Point B";2016-12-12;44.46;0.28
"122";"Suivi des lacs";"Bourget";"Point B";2016-12-12;44.74;0.28
"123";"Suivi des lacs";"Bourget";"Point B";2016-12-12;44.99;0.34
"124";"Suivi des lacs";"Bourget";"Point B";2016-12-12;45.48;0.28
"125";"Suivi des lacs";"Bourget";"Point B";2016-12-12;45.74;0.25
"126";"Suivi des lacs";"Bourget";"Point B";2016-12-12;46;0.28
"127";"Suivi des lacs";"Bourget";"Point B";2016-12-12;46.25;0.34
"128";"Suivi des lacs";"Bourget";"Point B";2016-12-12;46.76;0.28
"129";"Suivi des lacs";"Bourget";"Point B";2016-12-12;47.03;0.25
"130";"Suivi des lacs";"Bourget";"Point B";2016-12-12;47.28;0.37
"131";"Suivi des lacs";"Bourget";"Point B";2016-12-12;47.8;0.25
"132";"Suivi des lacs";"Bourget";"Point B";2016-12-12;48.31;0.28
"133";"Suivi des lacs";"Bourget";"Point B";2016-12-12;48.82;0.28
"134";"Suivi des lacs";"Bourget";"Point B";2016-12-12;49.32;0.25
"135";"Suivi des lacs";"Bourget";"Point B";2016-12-12;49.6;0.34
"136";"Suivi des lacs";"Bourget";"Point B";2016-12-12;50.1;0.34
"137";"Suivi des lacs";"Bourget";"Point B";2016-12-12;50.35;0.25
"138";"Suivi des lacs";"Bourget";"Point B";2016-12-12;50.62;0.31
"139";"Suivi des lacs";"Bourget";"Point B";2016-12-12;50.88;0.25
"140";"Suivi des lacs";"Bourget";"Point B";2016-12-12;51.39;0.28
"141";"Suivi des lacs";"Bourget";"Point B";2016-12-12;51.65;0.31
"142";"Suivi des lacs";"Bourget";"Point B";2016-12-12;52.15;0.28
"143";"Suivi des lacs";"Bourget";"Point B";2016-12-12;52.4;0.25
"144";"Suivi des lacs";"Bourget";"Point B";2016-12-12;52.91;0.28
"145";"Suivi des lacs";"Bourget";"Point B";2016-12-12;53.42;0.22
"146";"Suivi des lacs";"Bourget";"Point B";2016-12-12;53.69;0.25
"147";"Suivi des lacs";"Bourget";"Point B";2016-12-12;53.95;0.25
"148";"Suivi des lacs";"Bourget";"Point B";2016-12-12;54.22;0.25
"149";"Suivi des lacs";"Bourget";"Point B";2016-12-12;54.7;0.28
"150";"Suivi des lacs";"Bourget";"Point B";2016-12-12;54.97;0.31
"151";"Suivi des lacs";"Bourget";"Point B";2016-12-12;55.48;0.25
"152";"Suivi des lacs";"Bourget";"Point B";2016-12-12;55.74;0.31
"153";"Suivi des lacs";"Bourget";"Point B";2016-12-12;56.27;0.25
"154";"Suivi des lacs";"Bourget";"Point B";2016-12-12;56.76;0.25
"155";"Suivi des lacs";"Bourget";"Point B";2016-12-12;57.02;0.28
"156";"Suivi des lacs";"Bourget";"Point B";2016-12-12;57.51;0.25
"157";"Suivi des lacs";"Bourget";"Point B";2016-12-12;57.78;0.25
"158";"Suivi des lacs";"Bourget";"Point B";2016-12-12;58.03;0.22
"159";"Suivi des lacs";"Bourget";"Point B";2016-12-12;58.31;0.25
"160";"Suivi des lacs";"Bourget";"Point B";2016-12-12;58.8;0.28
"161";"Suivi des lacs";"Bourget";"Point B";2016-12-12;59.06;0.22
"162";"Suivi des lacs";"Bourget";"Point B";2016-12-12;59.59;0.28
"163";"Suivi des lacs";"Bourget";"Point B";2016-12-12;60.07;0.34
"164";"Suivi des lacs";"Bourget";"Point B";2016-12-12;60.34;0.25
"165";"Suivi des lacs";"Bourget";"Point B";2016-12-12;60.85;0.25
"166";"Suivi des lacs";"Bourget";"Point B";2016-12-12;61.11;0.28
"167";"Suivi des lacs";"Bourget";"Point B";2016-12-12;61.38;0.22
"168";"Suivi des lacs";"Bourget";"Point B";2016-12-12;61.87;0.22
"169";"Suivi des lacs";"Bourget";"Point B";2016-12-12;62.13;0.25
"170";"Suivi des lacs";"Bourget";"Point B";2016-12-12;62.4;0.25
"171";"Suivi des lacs";"Bourget";"Point B";2016-12-12;62.9;0.25
"172";"Suivi des lacs";"Bourget";"Point B";2016-12-12;63.15;0.22
"173";"Suivi des lacs";"Bourget";"Point B";2016-12-12;63.43;0.25
"174";"Suivi des lacs";"Bourget";"Point B";2016-12-12;63.93;0.28
"175";"Suivi des lacs";"Bourget";"Point B";2016-12-12;64.18;0.46
"176";"Suivi des lacs";"Bourget";"Point B";2016-12-12;64.45;0.25
"177";"Suivi des lacs";"Bourget";"Point B";2016-12-12;64.95;0.25
"178";"Suivi des lacs";"Bourget";"Point B";2016-12-12;65.2;0.25
"179";"Suivi des lacs";"Bourget";"Point B";2016-12-12;65.47;0.25
"180";"Suivi des lacs";"Bourget";"Point B";2016-12-12;65.72;0.22
"181";"Suivi des lacs";"Bourget";"Point B";2016-12-12;65.98;0.28
"182";"Suivi des lacs";"Bourget";"Point B";2016-12-12;66.49;0.22
"183";"Suivi des lacs";"Bourget";"Point B";2016-12-12;66.74;0.25
"184";"Suivi des lacs";"Bourget";"Point B";2016-12-12;67.24;0.28
"185";"Suivi des lacs";"Bourget";"Point B";2016-12-12;67.51;0.25
"186";"Suivi des lacs";"Bourget";"Point B";2016-12-12;67.76;0.25
"187";"Suivi des lacs";"Bourget";"Point B";2016-12-12;68.27;0.25
"188";"Suivi des lacs";"Bourget";"Point B";2016-12-12;68.55;0.25
"189";"Suivi des lacs";"Bourget";"Point B";2016-12-12;68.8;0.22
"190";"Suivi des lacs";"Bourget";"Point B";2016-12-12;69.31;0.28
"191";"Suivi des lacs";"Bourget";"Point B";2016-12-12;69.81;0.22
"192";"Suivi des lacs";"Bourget";"Point B";2016-12-12;70.32;0.25
"193";"Suivi des lacs";"Bourget";"Point B";2016-12-12;70.59;0.25
"194";"Suivi des lacs";"Bourget";"Point B";2016-12-12;70.86;0.25
"195";"Suivi des lacs";"Bourget";"Point B";2016-12-12;71.35;0.25
"196";"Suivi des lacs";"Bourget";"Point B";2016-12-12;71.86;0.25
"197";"Suivi des lacs";"Bourget";"Point B";2016-12-12;72.11;0.22
"198";"Suivi des lacs";"Bourget";"Point B";2016-12-12;72.38;0.25
"199";"Suivi des lacs";"Bourget";"Point B";2016-12-12;72.89;0.25
"200";"Suivi des lacs";"Bourget";"Point B";2016-12-12;73.14;0.25
"201";"Suivi des lacs";"Bourget";"Point B";2016-12-12;73.64;0.31
"202";"Suivi des lacs";"Bourget";"Point B";2016-12-12;73.92;0.25
"203";"Suivi des lacs";"Bourget";"Point B";2016-12-12;74.44;0.25
"204";"Suivi des lacs";"Bourget";"Point B";2016-12-12;74.95;0.25
"205";"Suivi des lacs";"Bourget";"Point B";2016-12-12;75.47;0.25
"206";"Suivi des lacs";"Bourget";"Point B";2016-12-12;75.96;0.25
"207";"Suivi des lacs";"Bourget";"Point B";2016-12-12;76.21;0.22
"208";"Suivi des lacs";"Bourget";"Point B";2016-12-12;76.47;0.25
"209";"Suivi des lacs";"Bourget";"Point B";2016-12-12;76.72;0.22
"210";"Suivi des lacs";"Bourget";"Point B";2016-12-12;76.99;0.25
"211";"Suivi des lacs";"Bourget";"Point B";2016-12-12;77.25;0.22
"212";"Suivi des lacs";"Bourget";"Point B";2016-12-12;77.74;0.25
"213";"Suivi des lacs";"Bourget";"Point B";2016-12-12;78.02;0.28
"214";"Suivi des lacs";"Bourget";"Point B";2016-12-12;78.52;0.22
"215";"Suivi des lacs";"Bourget";"Point B";2016-12-12;78.77;0.25
"216";"Suivi des lacs";"Bourget";"Point B";2016-12-12;79.28;0.28
"217";"Suivi des lacs";"Bourget";"Point B";2016-12-12;79.82;0.25
"218";"Suivi des lacs";"Bourget";"Point B";2016-12-12;80.3;0.25
"219";"Suivi des lacs";"Bourget";"Point B";2016-12-12;80.57;0.22
"220";"Suivi des lacs";"Bourget";"Point B";2016-12-12;80.83;0.28
"221";"Suivi des lacs";"Bourget";"Point B";2016-12-12;81.36;0.25
"222";"Suivi des lacs";"Bourget";"Point B";2016-12-12;81.85;0.25
"223";"Suivi des lacs";"Bourget";"Point B";2016-12-12;82.11;0.28
"224";"Suivi des lacs";"Bourget";"Point B";2016-12-12;82.61;0.22
"225";"Suivi des lacs";"Bourget";"Point B";2016-12-12;82.87;0.25
"226";"Suivi des lacs";"Bourget";"Point B";2016-12-12;83.39;0.25
"227";"Suivi des lacs";"Bourget";"Point B";2016-12-12;83.9;0.25
"228";"Suivi des lacs";"Bourget";"Point B";2016-12-12;84.41;0.22
"229";"Suivi des lacs";"Bourget";"Point B";2016-12-12;84.93;0.25
"230";"Suivi des lacs";"Bourget";"Point B";2016-12-12;85.44;0.25
"231";"Suivi des lacs";"Bourget";"Point B";2016-12-12;85.94;0.25
"232";"Suivi des lacs";"Bourget";"Point B";2016-12-12;86.2;0.25
"233";"Suivi des lacs";"Bourget";"Point B";2016-12-12;86.45;0.25
"234";"Suivi des lacs";"Bourget";"Point B";2016-12-12;86.73;0.25
"235";"Suivi des lacs";"Bourget";"Point B";2016-12-12;87.23;0.25
"236";"Suivi des lacs";"Bourget";"Point B";2016-12-12;87.5;0.25
"237";"Suivi des lacs";"Bourget";"Point B";2016-12-12;88;0.28
"238";"Suivi des lacs";"Bourget";"Point B";2016-12-12;88.26;0.31
"239";"Suivi des lacs";"Bourget";"Point B";2016-12-12;88.77;0.34
"240";"Suivi des lacs";"Bourget";"Point B";2016-12-12;89.27;0.25
"241";"Suivi des lacs";"Bourget";"Point B";2016-12-12;89.53;0.25
"242";"Suivi des lacs";"Bourget";"Point B";2016-12-12;90.03;0.25
"243";"Suivi des lacs";"Bourget";"Point B";2016-12-12;90.3;0.25
"244";"Suivi des lacs";"Bourget";"Point B";2016-12-12;90.55;0.25
"245";"Suivi des lacs";"Bourget";"Point B";2016-12-12;90.83;0.25
"246";"Suivi des lacs";"Bourget";"Point B";2016-12-12;91.08;0.25
"247";"Suivi des lacs";"Bourget";"Point B";2016-12-12;91.58;0.25
"248";"Suivi des lacs";"Bourget";"Point B";2016-12-12;91.85;0.28
"249";"Suivi des lacs";"Bourget";"Point B";2016-12-12;92.35;0.25
"250";"Suivi des lacs";"Bourget";"Point B";2016-12-12;92.86;0.25
"251";"Suivi des lacs";"Bourget";"Point B";2016-12-12;93.11;0.25
"252";"Suivi des lacs";"Bourget";"Point B";2016-12-12;93.38;0.25
"253";"Suivi des lacs";"Bourget";"Point B";2016-12-12;93.63;0.25
"254";"Suivi des lacs";"Bourget";"Point B";2016-12-12;94.13;0.37
"255";"Suivi des lacs";"Bourget";"Point B";2016-12-12;94.41;0.25
"256";"Suivi des lacs";"Bourget";"Point B";2016-12-12;94.92;0.25
"257";"Suivi des lacs";"Bourget";"Point B";2016-12-12;95.17;0.31
"258";"Suivi des lacs";"Bourget";"Point B";2016-12-12;95.67;0.25
"259";"Suivi des lacs";"Bourget";"Point B";2016-12-12;95.96;0.25
"260";"Suivi des lacs";"Bourget";"Point B";2016-12-12;96.45;0.25
"261";"Suivi des lacs";"Bourget";"Point B";2016-12-12;96.7;0.25
"262";"Suivi des lacs";"Bourget";"Point B";2016-12-12;96.96;0.25
"263";"Suivi des lacs";"Bourget";"Point B";2016-12-12;97.22;0.25
"264";"Suivi des lacs";"Bourget";"Point B";2016-12-12;97.48;0.25
"265";"Suivi des lacs";"Bourget";"Point B";2016-12-12;97.99;0.25
"266";"Suivi des lacs";"Bourget";"Point B";2016-12-12;98.49;0.25
"267";"Suivi des lacs";"Bourget";"Point B";2016-12-12;98.75;0.25
"268";"Suivi des lacs";"Bourget";"Point B";2016-12-12;99.01;0.25
"269";"Suivi des lacs";"Bourget";"Point B";2016-12-12;99.5;0.28
"270";"Suivi des lacs";"Bourget";"Point B";2016-12-12;99.78;0.25
"271";"Suivi des lacs";"Bourget";"Point B";2016-12-12;100.3;0.25
"272";"Suivi des lacs";"Bourget";"Point B";2016-12-12;100.8;0.31
"273";"Suivi des lacs";"Bourget";"Point B";2016-12-12;101.32;0.25
"274";"Suivi des lacs";"Bourget";"Point B";2016-12-12;101.84;0.28
"275";"Suivi des lacs";"Bourget";"Point B";2016-12-12;102.33;0.25
"276";"Suivi des lacs";"Bourget";"Point B";2016-12-12;102.58;0.25
"277";"Suivi des lacs";"Bourget";"Point B";2016-12-12;102.86;0.25
"278";"Suivi des lacs";"Bourget";"Point B";2016-12-12;103.37;0.25
"279";"Suivi des lacs";"Bourget";"Point B";2016-12-12;103.89;0.25
"280";"Suivi des lacs";"Bourget";"Point B";2016-12-12;104.38;0.28
"281";"Suivi des lacs";"Bourget";"Point B";2016-12-12;104.63;0.25
"282";"Suivi des lacs";"Bourget";"Point B";2016-12-12;104.9;0.25
"283";"Suivi des lacs";"Bourget";"Point B";2016-12-12;105.41;0.25
"284";"Suivi des lacs";"Bourget";"Point B";2016-12-12;105.92;0.25
"285";"Suivi des lacs";"Bourget";"Point B";2016-12-12;106.18;0.28
"286";"Suivi des lacs";"Bourget";"Point B";2016-12-12;106.68;0.25
"287";"Suivi des lacs";"Bourget";"Point B";2016-12-12;106.95;0.25
