"","nom.du.projet","nom.du.site","nom.de.la.plateforme","date.prélèvement","profondeur.min.réelle.observée..m.","profondeur.max.réelle.observée..m.","chlorophylle.a.scor.unesco..µg.l."
"1","Suivi des lacs","Bourget","Point B",2016-10-12,0,10.75,4.96
"2","Suivi des lacs","Bourget","Point B",2016-10-12,2,2,4.31
"3","Suivi des lacs","Bourget","Point B",2016-10-12,10,10,4.58
"4","Suivi des lacs","Bourget","Point B",2016-10-12,15,15,5.67
"5","Suivi des lacs","Bourget","Point B",2016-10-12,20,20,3.19
"6","Suivi des lacs","Bourget","Point B",2016-10-26,0,18,4.32
"7","Suivi des lacs","Bourget","Point B",2016-10-26,2,2,3.94
"8","Suivi des lacs","Bourget","Point B",2016-10-26,10,10,4.19
"9","Suivi des lacs","Bourget","Point B",2016-10-26,15,15,4.17
"10","Suivi des lacs","Bourget","Point B",2016-10-26,20,20,4.18
"11","Suivi des lacs","Bourget","Point B",2016-12-12,0,18,3.17
"12","Suivi des lacs","Bourget","Point B",2016-12-12,2,2,3.35
"13","Suivi des lacs","Bourget","Point B",2016-12-12,10,10,3.3
"14","Suivi des lacs","Bourget","Point B",2016-12-12,15,15,3.24
"15","Suivi des lacs","Bourget","Point B",2016-12-12,20,20,3.49
"16","Suivi des lacs","Bourget","Point B",2017-01-19,0,18,2.36
"17","Suivi des lacs","Bourget","Point B",2017-01-19,2,2,1.36
"18","Suivi des lacs","Bourget","Point B",2017-01-19,10,10,1.48
"19","Suivi des lacs","Bourget","Point B",2017-01-19,15,15,1.43
"20","Suivi des lacs","Bourget","Point B",2017-01-19,20,20,1.47
"21","Suivi des lacs","Bourget","Point B",2017-02-22,0,18,4.68
"22","Suivi des lacs","Bourget","Point B",2017-02-22,2,2,5.98
"23","Suivi des lacs","Bourget","Point B",2017-02-22,10,10,4.06
"24","Suivi des lacs","Bourget","Point B",2017-02-22,15,15,3.53
"25","Suivi des lacs","Bourget","Point B",2017-02-22,20,20,3.01
"26","Suivi des lacs","Bourget","Point B",2017-03-09,0,18,3.06
"27","Suivi des lacs","Bourget","Point B",2017-03-09,2,2,3.82
"28","Suivi des lacs","Bourget","Point B",2017-03-09,10,10,2.99
"29","Suivi des lacs","Bourget","Point B",2017-03-09,15,15,2.84
"30","Suivi des lacs","Bourget","Point B",2017-03-09,20,20,2.68
"31","Suivi des lacs","Bourget","Point B",2017-03-22,0,18,3.83
"32","Suivi des lacs","Bourget","Point B",2017-03-22,2,2,3.89
"33","Suivi des lacs","Bourget","Point B",2017-03-22,10,10,4.47
"34","Suivi des lacs","Bourget","Point B",2017-03-22,15,15,4.23
"35","Suivi des lacs","Bourget","Point B",2017-03-22,20,20,4.04
"36","Suivi des lacs","Bourget","Point B",2017-04-11,0,18,2.7
"37","Suivi des lacs","Bourget","Point B",2017-04-11,2,2,2.34
"38","Suivi des lacs","Bourget","Point B",2017-04-11,10,10,3.12
"39","Suivi des lacs","Bourget","Point B",2017-04-11,15,15,3.34
"40","Suivi des lacs","Bourget","Point B",2017-04-11,20,20,2.53
"41","Suivi des lacs","Bourget","Point B",2017-04-24,0,18,2.02
"42","Suivi des lacs","Bourget","Point B",2017-04-24,2,2,1.65
"43","Suivi des lacs","Bourget","Point B",2017-04-24,10,10,1.95
"44","Suivi des lacs","Bourget","Point B",2017-04-24,15,15,2.45
"45","Suivi des lacs","Bourget","Point B",2017-04-24,20,20,1.76
"46","Suivi des lacs","Bourget","Point B",2017-05-10,0,18,5.76
"47","Suivi des lacs","Bourget","Point B",2017-05-10,2,2,8.73
"48","Suivi des lacs","Bourget","Point B",2017-05-10,10,10,7.65
"49","Suivi des lacs","Bourget","Point B",2017-05-10,15,15,1.77
"50","Suivi des lacs","Bourget","Point B",2017-05-10,20,20,1.28
"51","Suivi des lacs","Bourget","Point B",2017-05-29,0,18,2.45
"52","Suivi des lacs","Bourget","Point B",2017-05-29,2,2,1.32
"53","Suivi des lacs","Bourget","Point B",2017-05-29,10,10,3.02
"54","Suivi des lacs","Bourget","Point B",2017-05-29,15,15,2.94
