,chl_a
0.0,1.035668264070251
0.1,1.0374183904885201
0.2,1.0391621281930121
0.30000000000000004,1.0408994316352487
0.4,1.0426302553742637
0.5,1.0443545540785728
0.6000000000000001,1.0460722825281403
0.7000000000000001,1.0477833956163456
0.8,1.0494878483519456
0.9,1.051185595861037
1.0,1.0528765933890138
1.1,1.054560796302525
1.2000000000000002,1.0562381600914275
1.3,1.0579086403707376
1.4000000000000001,1.0595721928825799
1.5,1.0612287734981312
1.6,1.0628783382195646
1.7000000000000002,1.064520843181987
1.8,1.0661562446553767
1.9000000000000001,1.0677844990465142
2.0,1.0694055629009125
2.1,1.0710193929047418
2.2,1.072625945886751
2.3000000000000003,1.0742251788201858
2.4000000000000004,1.0758170488247016
2.5,1.0774015131682741
2.6,1.0789785292691036
2.7,1.080548054697517
2.8000000000000003,1.082110047177863
2.9000000000000004,1.0836644645904054
3.0,1.0852112649732093
3.1,1.0867504065240237
3.2,1.0882818476021587
3.3000000000000003,1.0898055467303587
3.4000000000000004,1.091321462596669
3.5,1.0928295540562967
3.6,1.094329780133469
3.7,1.0958221000232833
3.8000000000000003,1.0973064730935516
3.9000000000000004,1.098782858886641
4.0,1.1002512171213077
4.1000000000000005,1.1017115076945232
4.2,1.1031636906832971
4.3,1.1046077263464917
4.4,1.1060435751266313
4.5,1.1074711976517042
4.6000000000000005,1.108890554736959
4.7,1.1103016073866938
4.800000000000001,1.1117043167960379
4.9,1.1130986443527289
5.0,1.1144845516388793
5.1000000000000005,1.1158620004327389
5.2,1.1172309527104483
5.300000000000001,1.1185913706477864
5.4,1.1199432166219083
5.5,1.1212864532130784
5.6000000000000005,1.1226210432063932
5.7,1.123946949593498
5.800000000000001,1.125264135574294
5.9,1.1265725645586404
6.0,1.1278722001680443
6.1000000000000005,1.1291630062373461
6.2,1.130444946816393
6.300000000000001,1.1317179861717084
6.4,1.132982088788147
6.5,1.1342372193705479
6.6000000000000005,1.1354833428453726
6.7,1.1367204243623383
6.800000000000001,1.137948429296041
6.9,1.1391673232475676
7.0,1.1403770720461033
7.1000000000000005,1.141577641750524
7.2,1.142768998650983
7.300000000000001,1.143951109270489
7.4,1.1451239403664706
7.5,1.1462874589323337
7.6000000000000005,1.147441632199009
7.7,1.1485864276364897
7.800000000000001,1.1497218129553566
7.9,1.1508477561082973
8.0,1.1519642252916111
8.1,1.1530711889467071
